d = 19, symClass = C, r = 24.62833458569262, D = 16, Y = 0.1400295364631172
max of |f(z) - f(z^*)| for 100 points = 1.002731231380949e-11; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -3.498312750593868e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -3.633759959598137e-13, 
confident_r = 24.628334585
-1, 20, 1.013233713471961
44, 1, 1.436795727650679
37, 8, 0.1050802432767611
7, 19, -0.09064654488547384
28, 13, 0.2484481066593573
34, 10, 0.4140068067255854
23, 15, 0.2425910265308603
20, 16, -0.5407690249431716
0, 20, -0.6302236210128841
41, 5, -0.9640585222750309
42, 4, 1.204981753198265
40, 6, -0.9231066312210299
26, 14, -1.555825887975851
1, 20, -0.09608461571042598
8, 19, 0.2778083225174768
43, 3, 0.112592379154489
17, 17, 0.6310495898326907
13, 18, 0.3948423762374411
45, 0, 0.4076123820273387
36, 9, 0.2231617333231074
39, 7, -1.400275607086643
44, 2, 0.09911868445890984
2, 20, -0.2100934302890258
31, 12, 0.222633530261647
33, 11, -0.02898922928789322
21, 16, 0.5170303396125322
9, 19, 0.7287885982811327
24, 15, -0.414220453428836
29, 13, -0.8955081621079374
38, 8, 0.4132212179433117
14, 18, 0.03656872475547183
3, 20, 0.174421691561647
45, 1, -0.2036361941546204
35, 10, 0.5280702595732709
18, 17, 0.7818574633732597
27, 14, 0.5597796768675318
10, 19, 0.3452798317110337
-10, 21, -0.1116007159859365
4, 20, -0.08771086754365706
-9, 21, 0.03343870757707675
42, 5, -0.2042502235972661
43, 4, 0.5665421388458494
-8, 21, -0.1481453018647782
41, 6, -0.4315944242073494
37, 9, 0.05574361029494908
-7, 21, -0.05466019994896205
44, 3, 0.06107054238351998
15, 18, 0.2996825061179766
-6, 21, 0.02649505284449655
46, 0, -0.2503023681116386
22, 16, 0.2374396455971112
40, 7, -0.2892793355739013
25, 15, 0.08770602090243243
5, 20, 0.5916661677597375
-5, 21, -0.1431481840235628
32, 12, 0.1185016174911928
19, 17, 0.2666311099084284
45, 2, 0.6924133279955498
34, 11, 0.2142459299539953
30, 13, -0.3102801396739078
11, 19, -0.1483087129000285
-4, 21, -0.9891769063216674
-3, 21, -0.2848309383750831
