d = 19, symClass = C, r = 18.56400734520961, D = 16, Y = 0.1185646102314963
max of |f(z) - f(z^*)| for 100 points = 2.604416682316923e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 2.54827409174041e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 3.132077930345645e-13, 
confident_r = 18.56400734521
27, 12, -0.2134786093665361
41, 2, -0.3540867105708801
-1, 19, -1.020150509807749
33, 9, -0.9922750176230968
16, 16, -0.3627693251521038
36, 7, -0.4559157093294539
12, 17, 0.4944718530438903
25, 13, -1.126123295439161
7, 18, -1.100827714940376
0, 19, -0.02621835307394361
42, 1, 1.136622242311475
35, 8, -0.06385345318156442
20, 15, -0.04615954435790478
1, 19, 0.03284362640697704
8, 18, -0.1536575707815326
23, 14, -0.5244535070309579
30, 11, -0.8006529608111623
13, 17, -0.7426153106539384
40, 4, -0.3563378319715337
28, 12, -0.2333952728033162
39, 5, -0.2739846857112231
17, 16, 0.7347740701666973
32, 10, 0.1999146928028488
2, 19, 0.8037130096799477
43, 0, -0.1932936920121118
41, 3, 0.7856278463638553
38, 6, -0.06417235384115376
26, 13, 0.04255366190012732
9, 18, -0.1890065067196571
34, 9, -0.1000592214882536
42, 2, 0.2218856051600808
3, 19, -0.8660121916078513
37, 7, -1.165707204746658
14, 17, 0.2601291853815901
21, 15, -1.050102943216159
24, 14, 0.179411795765065
18, 16, 0.175271267465425
43, 1, 0.9084601769642088
4, 19, 0.9506301786820012
10, 18, 0.02136394434566928
-10, 20, 7.538203441843471e-16
-9, 20, 0.9652853885178565
36, 8, -0.3201681457157589
-8, 20, 0.2172313349741708
31, 11, 0.9711598744624492
29, 12, -0.7036325370895861
-7, 20, 1.114054188876353
-6, 20, -0.1472822519925189
33, 10, 0.01309850503264522
41, 4, 0.7612070856737715
40, 5, 2.006955133546074
27, 13, 0.5870586283785429
15, 17, 0.5680912281097793
5, 19, -0.7106810065997065
-5, 20, 1.903510913565172
42, 3, 0.5846019908316252
39, 6, 0.5951279822076949
44, 0, 1.973462906473694
-4, 20, -1.056230492376254
22, 15, 0.1908538562277347
11, 18, -0.2942857250342329
35, 9, 0.5125724962331625
19, 16, 0.3973412431267183
-3, 20, 1.083691724569275
43, 2, -0.5739229126790089
38, 7, -0.5979885063442111
25, 14, 0.5053759537837959
6, 19, 0.513263252013042
-2, 20, -0.195741855847478
16, 17, -1.189878589762277
30, 12, -0.5142363051463884
12, 18, -0.5121686416730253
32, 11, -0.2707288712573447
-1, 20, 1.265995804627817
44, 1, 0.5139542028083394
37, 8, 0.5468856682648072
7, 19, 0.6511477064901866
28, 13, 0.03600771903990407
34, 10, -0.01294150510783525
23, 15, -0.08291480128671944
20, 16, -0.1117509292428406
0, 20, -0.1114427157908208
41, 5, -0.6264837609553786
42, 4, 0.2035921561535685
40, 6, 0.02483664456890844
26, 14, -0.01203373753222471
1, 20, 0.218330716582143
8, 19, 0.2017776866420809
43, 3, 0.3353159326931371
17, 17, 0.04171006560260614
13, 18, -0.4749865856124598
45, 0, -0.2055285683897498
36, 9, -0.06903670076755099
39, 7, -0.5691822910218329
44, 2, 0.09478204987978159
2, 20, 0.1024063775531164
31, 12, -0.175734260703292
33, 11, 0.2564524739636476
21, 16, -0.06623658449286732
9, 19, 0.2082787580120458
24, 15, -0.8909634895935357
29, 13, 0.7000562622405194
38, 8, -0.1843800440521562
14, 18, 0.181128464779632
3, 20, -0.3010862635252319
45, 1, -0.2387809517391362
35, 10, -0.98829018390239
18, 17, -0.4251490725137836
27, 14, 0.6773551736396733
10, 19, -1.561781264666814
-10, 21, 1.564763415035852
4, 20, 0.6225463103667914
-9, 21, 0.352324070562121
